Profession,Link,Tags
Администратор базы данных,https://hh.ru/vacancy/101301821,"['Грамотная речь', 'Коммуникабельность', 'Пользователь ПК', 'Высокая скорость печати']"
Администратор базы данных,https://hh.ru/vacancy/100384772,"['Администрирование баз данных', 'Работа в команде', 'Опытный пользователь ПК', 'Способность работать с документами', 'Опыт работы с клиентами', 'Базы данных', 'Работа в условиях многозадачности', 'Работа в коллективе']"
Администратор базы данных,https://hh.ru/vacancy/81050853,"['MS Excel', 'Телефонные переговоры', 'исходящие звонки', 'Консультирование клиентов по телефону', 'Ориентация на результат']"
Администратор базы данных,https://hh.ru/vacancy/102372347,"['PostgreSQL', 'Clickhouse', 'MySQL', 'Linux']"
ERP-программист,https://hh.ru/vacancy/102132489,"['1С программирование', 'XML', 'ООП', '1С: Предприятие 8', 'Бизнес-анализ', '1C: ERP', 'ERP-системы на базе 1С', 'Базы данных', 'Обновление конфигурации 1С']"
ERP-программист,https://hh.ru/vacancy/97538573,"['1C ERP', 'Моделирование бизнес процессов', 'Удаленная работа', 'Управление проектами', 'ERP-системы на базе 1С', 'Высокий уровень самоорганизации']"
ERP-программист,https://hh.ru/vacancy/102333302,"['1С программирование', 'Оптимизация кода', 'Оптимизация запросов', 'Управленческий учет', '1С: Бухгалтерия', 'Обновление конфигурации 1С']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/102363641,"['Linux', 'C/C++']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/102338915,"['Тестирование', 'Jmeter', 'Функциональное тестирование', 'SoapUI', 'Тестирование пользовательского интерфейса', 'Нагрузочное тестирование', 'SQL', 'XML', 'Black box testing', 'Postman', 'Ручное тестирование', 'Selenium IDE', 'JSON', 'QA']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/90927479,"['Python', 'MS Exchange', 'ActiveDirectory', 'MySQL', 'SQL']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/102377839,"['QA', 'Jenkins', 'SQL', 'Selenium', 'Selenide', 'REST', 'API', 'Функциональное тестирование']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/102091263,"['SQL', 'Функциональное тестирование', 'Регрессионное тестирование', 'Тестирование', 'Проведение тестирований', 'Тестирование пользовательского интерфейса', 'Postman']"
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/102337377,['Тестирование']
Тестировщик программного обеспечения (ПО),https://hh.ru/vacancy/101324518,"['QA', 'Swagger', 'Тестирование', 'Postman', 'Работа в команде']"
Системный администратор,https://hh.ru/vacancy/100133403,"['Ремонт ПК', 'Настройка ПК', 'Сборка ПК', 'Настройка сетевых подключений', 'Настройка ПО', 'TCP/IP', 'Системы видеонаблюдения', 'Windows 7', 'Windows Xp', 'Прокладка кабелей', 'Работа с клиентами', 'Системный анализ', 'системный администратор', 'Информационные технологии', 'Системное администрирование', 'проектирование СКУД', 'Системный подход', 'Проектирование ЛВС', 'VLAN', 'LAN', 'ВОЛС', 'Автоматизация процессов', 'Локальные сети', 'Сетевые технологии', 'Техническая поддержка', 'Офисная техника', 'Схемотехника электронного оборудования', 'Техническое обслуживание', 'Администрирование', 'Работа с оргтехникой']"
Системный администратор,https://hh.ru/vacancy/101986995,"['Техническая документация', 'Проектная документация', 'Разработка инструкций', 'Разработка проектной документации', 'Разработка технической документации', 'Эксплуатационные документы', 'DevOps', 'Администрирование серверов Linux']"
Системный администратор,https://hh.ru/vacancy/98984005,"['Linux', 'Администрирование сетевого оборудования', 'Настройка ПК', 'Настройка ПО', 'Офисная техника', 'Системное администрирование', 'Администрирование серверов Windows', 'Администрирование серверов Linux', 'Ремонт ПК', 'Сборка ПК', 'Администрирование', 'Техническая поддержка', 'MikroTik', 'Ubuntu Server', 'Обеспечение антивирусной защиты', 'Антивирусная защита сети']"
Системный администратор,https://hh.ru/vacancy/101025551,"['Linux', 'Администрирование серверов Linux', 'Cisco']"
Системный администратор,https://hh.ru/vacancy/101973898,"['1С-Битрикс', '1С: Документооборот', 'Техническая поддержка', 'Администрирование']"
Системный администратор,https://hh.ru/vacancy/102139201,"['Техническая поддержка', 'Active Directory', 'Настройка сетевых подключений']"
