,Skill
0,SQL
1,Английский язык
2,Git
3,Python
4,Linux
5,Управление проектами
6,Работа в команде
7,JavaScript
8,Java
9,PostgreSQL
10,Грамотная речь
11,Atlassian Jira
12,MS SQL
13,ООП
14,HTML
15,Docker
16,MS PowerPoint
17,MySQL
18,Аналитическое мышление
19,PHP
20,C#
21,Ведение переговоров
22,Деловая коммуникация
23,CSS
24,Adobe Photoshop
25,Бизнес-анализ
26,Пользователь ПК
27,1С программирование
28,C++
29,Деловая переписка
30,Разработка технических заданий
31,Работа с большим объемом информации
32,BPMN
33,Spring Framework
34,Грамотность
35,Деловое общение
36,1С: Предприятие 8
37,REST
38,Тестирование
39,Scrum
40,Организаторские навыки
41,Agile Project Management
42,UML
43,React
44,XML
45,Atlassian Confluence
46,Креативность
47,Информационные технологии
48,MS Visio
49,Android
50,Анализ данных
51,TypeScript
52,iOS
53,Bash
54,Системный анализ
55,Kubernetes
56,HTML5
57,CRM
58,Активные продажи
59,Проведение презентаций
60,Обучение и развитие
61,Ориентация на результат
62,Node.js
63,B2B Продажи
64,Функциональное тестирование
65,Kotlin
66,Базы данных
67,TCP/IP
68,ORACLE
69,MongoDB
70,Телефонные переговоры
71,Техническая поддержка
72,.NET Framework
73,Информационная безопасность
74,Постановка задач разработчикам
75,Удаленная работа
76,MS SQL Server
77,CSS3
78,API
79,C/C++
80,MS Excel
81,Работа с базами данных
82,1С: Документооборот
83,Figma
84,1С-Битрикс
85,1С: Управление Торговлей
86,MS Project
87,Настройка ПК
88,1С: Зарплата и управление персоналом
89,Управление командой
90,SOAP
91,Системное мышление
92,Redis
93,Ansible
94,Подготовка презентаций
95,QA
96,Jenkins
97,Работа в условиях многозадачности
98,Поиск и привлечение клиентов
99,Google Analytics
100,1С: Бухгалтерия
101,CI/CD
102,Настройка сетевых подключений
103,jQuery
104,Моделирование бизнес процессов
105,Kafka
106,RabbitMQ
107,Adobe Illustrator
108,Клиентоориентированность
109,Навыки презентации
110,Windows 7
111,Навыки продаж
112,UX
113,Swift
114,Oracle Pl/SQL
115,AutoCAD
116,Unity
117,СУБД
118,Golang
119,Project management
120,Аналитика
121,Администрирование
122,ASP.NET
123,Развитие продаж
124,Настройка ПО
125,UI
126,Active Directory
127,Многозадачность
128,Zabbix
129,Nginx
130,Redux
131,ERP-системы на базе 1С
132,ETL
133,Техническое обслуживание
134,Управление персоналом
135,Администрирование сетевого оборудования
136,Интернет-реклама
137,Яндекс.Метрика
138,Helpdesk
139,Аналитические исследования
140,MS Access
141,Администрирование серверов Linux
142,Django Framework
143,Оптимизация бизнес-процессов
144,Jira
145,Power BI
146,AWS
147,Cisco
148,Тестирование пользовательского интерфейса
149,Поиск информации в интернет
150,Hibernate ORM
151,Проектная документация
152,VMware
153,Tableau
154,MS Outlook
155,Internet Marketing
156,Agile
157,Разработка инструкций
158,Hadoop
159,Администрирование серверов Windows
160,Техническая документация
161,Android SDK
162,Test case
163,Vue.js
164,REST API
165,Разработка ПО
166,Проведение тестирований
167,Умение работать в команде
168,Холодные продажи
169,Обучение персонала
170,Product Management
171,Написание текстов
172,Заключение договоров
173,Ремонт ПК
174,SAP ERP
175,ERP
176,Apache Maven
177,Системная интеграция
178,Разработка нового продукта
179,JSON API
180,SAP
181,Angular
182,Математическая статистика
183,DevOps
184,Unix
185,Spark
186,Управление отношениями с клиентами
187,IT
188,HTTP
189,Копирайтинг
190,Контекстная реклама
191,Руководство коллективом
192,Управление продажами
193,Big Data
194,Прямые продажи
195,Управление продуктом
196,Продвинутый пользователь ПК
197,SMM
198,Laravel
199,Графический дизайн
200,Cистемы управления базами данных
201,Маркетинговый анализ
202,Symfony
203,AngularJS
204,Монтаж оборудования
205,Postman
206,Мобильность
207,MVC
208,Наполнение контентом
209,Умение работать в условиях многозадачности
210,1С: Управление Производственным Предприятием
211,PowerShell
212,Mac Os
213,Grafana
214,Анализ рынка
215,Go
216,Analytical skills
217,Сборка ПК
218,1С: Комплексная автоматизация
219,DWH
220,Qt
221,1C: Бухгалтерия
222,MS Office
223,DHCP
224,Стратегическое мышление
225,Digital Marketing
226,Навыки переговоров
227,SCALA
228,Управление временем
229,MS Visual Studio
230,Objective-C
231,Excel
232,Планирование карьеры
233,Data Analysis
234,Автоматизация процессов
235,Gitlab
236,Сбор и анализ информации
237,NoSQL
238,SEO
239,JS
240,1С: Управление предприятием
241,ITIL
242,Консультирование
243,Дизайн
244,Управление рисками
245,Transact-SQL
246,Статистический анализ
247,Проектный менеджмент
248,E-Commerce
249,A/B тесты
250,Java SE
251,Высшее образование
252,Ведение отчетности
253,Регресcионное тестирование
254,Разработка проектной документации
255,Управление интернет-проектами
256,1C: Предприятие
257,Опытный пользователь ПК
258,Teamleading
259,Яндекс.Директ
260,Google Docs
261,SEO оптимизация
262,Entity Framework
263,Анализ бизнес показателей
264,Prometheus
265,VBA
266,Дизайн интерфейсов
267,Google AdWords
268,Электронный документооборот
269,JSON
270,Автоматизация
271,Ruby
272,ClickHouse
273,Adobe After Effect
274,SOLID
275,Webpack
276,Умение принимать решения
277,Web-дизайн
278,Документооборот
279,Business English
280,Проектирование пользовательских интерфейсов
281,Продвижение бренда
282,Selenium
283,Internet
284,Организация мероприятий
285,Лидерство
286,Time management
287,Настройка DNS
288,Планирование
289,JUnit
290,Таргетинг
291,Системы видеонаблюдения
292,Работа с оргтехникой
293,CorelDRAW
294,.NET Core
295,Маркетинговые исследования
296,PMBOK
297,Windows Os
298,Machine Learning
299,Схемотехника электронного оборудования
300,Bootstrap
301,Запуск новых продуктов
302,Vue
303,Microsoft Access
304,Документальное сопровождение
305,Офисная техника
306,React.js
307,MATLAB
308,Confluence
309,Обновление конфигурации 1С
310,Unit Testing
311,Elasticsearch
312,Ajax
313,Team management
314,Торговая площадка
315,Веб-аналитика
316,Оптимизация кода
317,STL
318,С#
319,Подбор персонала
320,PHP5
321,Веб-программирование
322,Terraform
323,Битрикс24
324,Spring Boot
325,Умение работать в коллективе
326,Flask
327,CentOS
328,Консультирование клиентов по телефону
329,ITSM
330,Xcode
331,Hyper-V
332,Оценка потребностей клиентов
333,Работа с людьми
334,Kanban
335,Бухгалтерский учет
336,OpenShift
337,Pandas
338,Нагрузочное тестирование
339,Backend
340,ЕСКД
341,CMS Wordpress
342,ARIS
343,Выездное обслуживание
344,docker
345,Ruby On Rails
346,SVN
347,Сопровождение клиентов
348,Планирование продаж
349,Математический анализ
350,ELK
351,Инженерные системы
352,Разработка компьютерных Игр
353,Точность и внимательность к деталям
354,Adobe InDesign
355,Java EE
356,Gamedev
357,Управление процессами
358,VPN
359,ГОСТ
360,Ориентация на клиента
361,Консультирование клиентов
362,Средства криптографической защиты информации
363,Yii
364,Ответственность
365,Математическое моделирование
366,Бюджетирование
367,Коммуникабельность
368,Написание статей
369,Работа с возражениями
370,Sass
371,Ведение групп в социальных сетях
372,Монтаж инженерных систем
373,TeamCity
374,Presentation skills
375,Leadership Skills
376,Мобильные приложения
377,1С: Торговля
378,WEB аналитика
379,English
380,MVVM
381,Интернет маркетинг
382,Навыки межличностного общения
383,3D Моделирование
384,ABAP
385,База данных: Oracle
386,Прогнозирование
387,Социальные сети
388,HTML/CSS
389,Технические средства информационной защиты
390,Тайм-менеджмент
391,Расстановка приоритетов
392,ML
393,Анализ конкурентной среды
394,Autodesk Maya
395,ReactJS
396,Typescript
397,Customer Service
398,Web
399,Java Script
400,Customer Support
401,Negotiation skills
402,GraphQL
403,Spring
404,SaaS
405,Azure
406,Аудит безопасности
407,Sas
408,B2C продажи
409,Графические редакторы
410,Подготовка коммерческих предложений
